iterations,random,proportional,tournament
608,1007326.24,984411.4313,895706.1432
609,1006538.194,984411.4313,895706.1432
610,1007326.24,984411.4313,895166.88
611,1005031.832,984411.4313,894883.9944
612,1005031.832,984411.4313,894288.6158
613,1004857.925,984156.4083,894201.6782
614,1004857.925,983745.8001,893454.8788
615,1004857.925,983745.8001,893454.8788
616,1004857.925,982162.7471,892835.7449
617,1003491.904,982162.7471,892835.7449
618,1003491.904,981067.1873,892068.6599
619,1003491.904,981067.1873,892068.6599
620,1003491.904,978793.6198,892068.6599
621,1003491.904,978654.6983,891059.7467
622,1002009.078,978654.6983,891059.7467
623,1002009.078,978148.7661,890012.8825
624,1002009.078,978148.7661,890012.8825
625,1002009.078,978793.6198,890012.8825
626,1001655.387,978175.6207,889417.504
627,999393.7881,978521.4418,889417.504
628,999393.7881,978432.5471,889417.504
629,998800.1175,976092.1757,888307.0695
630,998800.1175,977471.3212,888307.0695
631,998800.1175,977471.3212,886988.2006
632,998800.1175,976294.2598,886988.2006
633,998800.1175,976294.2598,886936.1739
634,998800.1175,976294.2598,886936.1739
635,998800.1175,975001.7763,886936.1739
636,998800.1175,970359.0099,885878.1824
637,993935.3829,970359.0099,885878.1824
638,993935.3829,970359.0099,884598.7218
639,993935.3829,972690.2846,883319.0612
640,995978.1859,972690.2846,883319.0612
641,995978.1859,972690.2846,881431.668
642,995978.1859,972690.2846,881431.668
643,993966.9737,972690.2846,881191.2789
644,993966.9737,971376.7155,880960.4536
645,993966.9737,971376.7155,879405.9115
646,990622.0496,969664.2049,879405.9115
647,990622.0496,969664.2049,878804.3436
648,990622.0496,969664.2049,877841.6354
649,990622.0496,969664.2049,877361.8489
650,988941.5216,969664.2049,877361.8489
651,988941.5216,969664.2049,877361.8489
652,988941.5216,969664.2049,877361.8489
653,988941.5216,969664.2049,876721.2309
654,988941.5216,966893.8896,875970.8133
655,988941.5216,966893.8896,875585.4792
656,988941.5216,966893.8896,875585.4792
657,988941.5216,966893.8896,875585.4792
658,988941.5216,969064.2486,875487.5243
659,988688.6862,969064.2486,875487.5243
660,988051.9905,968991.8538,873298.0657
661,988688.6862,968768.7469,873298.0657
662,985687.9254,966657.476,873999.757
663,985687.9254,966657.476,871988.7852
664,985687.9254,966657.476,871988.7852
665,985687.9254,966657.476,871988.7852
666,987625.972,966657.476,872407.0508
667,987625.972,966657.476,871912.2174
668,987625.972,966657.476,871809.3805
669,986832.8007,966372.6827,870686.8889
670,986006.789,965523.9308,869848.433
671,985751.3424,965523.9308,869838.3242
672,985751.3424,965523.9308,869838.3242
673,985572.2158,965523.9308,869838.3242
674,985572.2158,965523.9308,868352.7374
675,982892.8139,964453.6353,867965.6973
676,982892.8139,963295.5244,865623.6813
677,982892.8139,963295.5244,865623.6813
678,982892.8139,963128.8574,865623.6813
679,982892.8139,962702.1917,865623.6813
680,982892.8139,962702.1917,864474.2838
681,980736.8275,961995.3123,864474.2838
682,980736.8275,961995.3123,865623.6813
683,980736.8275,960711.3233,864747.0589
684,980736.8275,958464.1153,863912.7447
685,979856.6778,958464.1153,860809.3458
686,979856.6778,958464.1153,864117.2683
687,978646.4421,958464.1153,864117.2683
688,978646.4421,958464.1153,864117.2683
689,978646.4421,957395.8704,863999.9376
690,978646.4421,957395.8704,861297.0314
691,978646.4421,957395.8704,863618.0386
692,977918.0666,957395.8704,863048.0423
693,978646.4421,957395.8704,862699.5818
694,978646.4421,957395.8704,862699.5818
695,978646.4421,955889.2024,862542.1306
696,978646.4421,955407.5759,862300.921
